region,per capita,formal wage,child mortality,2020,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,aged,the poor: employable,regional production,retail,living wage
Республика Адыгея,30293.0,32161.0,0.3168854685377999,14225.0,52.5,5.1,309184.1,19.6,3.5,0.0,66252.3,105.9,267.3,0.0,954.0303354869916,463088.0,12.5,44.6,5.4,50.1,263505.6166430571,231447,10520.0
Республика Алтай,21677.0,36269.0,0.7445008460236886,8228.0,71.1,9.2,283451.4,14.4,4.8,0.46759999999999985,89433.5,239.8,241.7,0.0,1342.0776542935132,220181.0,23.8,44.5,2.9,52.6,79131.84425540805,135351,11138.0
Республика Башкортостан,30249.0,38738.0,0.5779504613890237,89197.0,56.4,6.4,425161.0,17.4,0.5,0.9912000000000001,84448.9,123.0,376.7,3.7,1019.7736538331529,4038151.0,11.6,40.1,4.5,55.4,764871.8703733466,226691,10477.0
Республика Бурятия,26092.0,41800.0,0.5467511885895404,33125.0,48.9,3.4,307558.8,17.2,3.2,2.112,61456.1,80.3,235.3,3.3,1280.0006491286968,985937.0,19.9,41.7,3.7,54.6,357716.7791045472,199747,12803.0
Республика Дагестан,27661.0,31342.0,0.6816324775297811,219687.0,13.6,9.1,239640.7,22.5,0.8,1.2,80693.8,192.0,297.8,0.0,1494.957339743569,3110858.0,14.8,38.3,5.0,56.7,43455.643298408344,188325,10775.0
Республика Ингушетия,16877.0,29648.0,0.5553586198747489,43348.0,0.2,2.7,142199.7,27.8,0.0,0.0,60547.7,55.2,106.0,0.0,1669.0299589201297,507061.0,30.0,38.1,10.6,51.3,16871.75862470196,50713,10580.0
Республика Калмыкия,19811.0,32013.0,0.2886002886002886,10674.0,58.1,0.7,344933.1,20.2,0.0,0.0,71872.7,103.7,354.8,0.0,1022.3689306065244,271135.0,22.7,33.8,0.3,65.9,41819.0897523374,86002,10914.0
Республика Карелия,32583.0,46501.0,0.4423927678399693,17304.0,78.1,5.1,522245.3,17.1,3.4,4.6805,112365.5,442.3,691.2,31.8,846.6544203861487,614064.0,15.1,39.0,3.0,58.1,799271.7489707913,226569,15438.0
Республика Коми,36677.0,57156.0,0.2375923970432946,25440.0,107.5,10.7,749219.3,15.5,8.8,6.588600000000001,111709.0,298.9,639.0,42.1,923.3698122912028,820473.0,15.3,40.1,6.6,53.3,1329030.0464000644,201675,15715.0
Республика Крым,22950.0,34181.0,0.5405978376086495,58555.0,57.6,14.6,270363.8,19.0,0.7,0.22999999999999998,52086.6,164.8,286.7,0.0,986.4991618835296,1912622.0,17.2,48.2,1.7,50.1,179171.73804337712,148071,11846.0
Республика Марий Эл,21264.0,32278.0,0.4667268894911172,21623.0,73.7,2.9,290803.3,16.5,1.8,1.8518,93490.3,203.2,662.5,0.0,977.602856566733,679417.0,19.5,32.8,5.8,61.5,478229.06159251236,134692,10568.0
Республика Мордовия,20631.0,31105.0,0.30586541921554516,24774.0,64.1,1.9,342811.2,20.0,0.1,0.0,65931.9,147.5,701.3,0.0,703.3689067409772,790197.0,17.6,26.8,12.1,61.2,638826.222068674,127327,10079.0
Республика Саха (Якутия),46338.0,77178.0,0.5170950065601605,28170.0,129,3.1,1168152.5,16.5,5.2,1.9349999999999998,104555.1,237.3,484.6,30.9,1333.030177078918,971996.0,17.3,44.2,5.1,50.7,1928404.7421594327,250679,18853.0
Республика Северная Осетия-Алания,23927.0,30479.0,0.40456050018389117,26042.0,46.3,9.4,267814.4,16.4,2.6,0.0,72233.0,407.2,193.8,0.0,1170.5750412219786,696837.0,13.9,34.8,6.8,58.4,102552.36159962803,163468,10433.0
Республика Татарстан,35635.0,39761.0,0.40867349391797686,107639.0,48.9,9.3,675621.4,16.2,0.7,2.175,79394.9,155.2,346.1,114.0,1065.8261267041225,3902888.0,6.6,42.0,7.3,50.7,1388744.7766935665,238322,10231.0
Республика Тыва,18972.0,44104.0,0.5469462169553327,14128.0,88.9,12.7,251799.9,13.6,8.5,6.3744000000000005,60756.5,340.9,389.7,0.0,2010.489243485459,327383.0,31.7,45.0,2.6,52.4,142291.04119639687,76921,11594.0
Республика Хакасия,23837.0,43800.0,0.39179104477611937,11741.0,79.1,17.9,500422.8,17.9,1.0,0.0,86026.5,92.8,331.0,0.0,1003.2530855647605,534262.0,18.5,43.2,2.4,54.3,887348.4346631427,175577,12428.0
Ростовская область,31427.0,35622.0,0.5481704810195971,162668.0,29.6,10.6,403949.1,18.2,0.8,0.8280000000000001,81083.3,98.4,204.9,8.3,869.1413950237516,4197821.0,13.0,43.9,1.6,54.5,515195.50411987555,232860,11493.0
Рязанская область,27312.0,36459.0,0.5286748649580508,39885.0,51.1,17.2,412845.1,19.0,0.3,0.138,70384.8,298.4,427.7,0.0,784.6889606952087,1108847.0,12.8,37.0,3.3,59.7,707304.785781988,196393,11643.0
Самарская область,29893.0,38748.0,0.46456777329092663,80323.0,49.4,12.1,505093.4,16.9,0.8,0.71,97537.6,325.3,446.7,5.6,880.0980773271035,3179532.0,12.3,36.9,9.5,53.6,973509.8581992569,213032,12151.0
Санкт-Петербург,49207.0,68667.0,0.34452280885297354,119099.0,14.7,9.4,971158.0,15.7,0.1,0.4815,101498.4,254.5,403.5,11.8,1027.0163525293513,5398064.0,5.9,25.7,9.8,64.6,1065465.9800624815,283494,13074.0
Саратовская область,24046.0,33545.0,0.3272005578501314,54594.0,48.6,5.7,358480.4,17.8,2.2,0.4921000000000001,74819.3,475.0,466.6,1.8,769.7691270678539,2421895.0,14.8,39.0,2.5,58.5,470428.58633425477,164665,10409.0
Сахалинская область,60770.0,92518.0,0.4471472008585226,9638.0,106.1,18.4,2059206.5,17.2,0.6,0.0,83995.5,214.2,496.0,31.3,1145.0936699320237,488257.0,7.7,44.9,12.1,43.0,3366523.3820713274,338787,17178.0
Свердловская область,37374.0,43256.0,0.41372098838398763,104203.0,50.2,12.9,588270.0,15.8,0.9,0.7248,75208.5,96.5,436.4,11.4,1020.5116082586486,4310681.0,9.0,46.3,2.2,51.5,1154113.3213847186,259875,11550.0
Севастополь,29957.0,36300.0,0.35502958579881655,7651.0,90,25.4,295304.9,13.7,1.2,0.0,52350.6,146.8,367.3,23.4,940.6908344428662,449138.0,11.0,45.2,2.1,52.7,119197.87570857955,141383,12201.0
Смоленская область,28152.0,33139.0,0.595056454073848,28006.0,72.4,7.1,386274.8,19.4,2.8,0.0,72034.9,321.6,262.8,0.0,701.0457926021164,934889.0,15.6,34.7,12.0,53.3,618954.6908777405,186156,11572.0
Ставропольский край,23911.0,33877.0,0.5020555171535634,89084.0,23.6,4,308476.2,19.0,0.9,0.2916000000000001,59172.3,190.5,246.4,11.2,980.4274759387397,2803573.0,13.8,39.2,1.9,58.9,285388.12458245247,185994,10464.0
Тамбовская область,27889.0,31063.0,0.3228844342795641,37402.0,45,5.1,378455.8,19.7,0.6,1.0404,64949.8,124.6,475.7,4.5,738.3178312745594,1006748.0,10.8,33.5,7.6,58.9,412539.0868221244,198282,10998.0
Тверская область,27681.0,36077.0,0.4466501240694789,34532.0,41,5,391722.2,17.5,2.2,1.8876000000000004,86566.6,180.7,729.8,0.0,799.3627313688977,1260379.0,11.4,31.0,3.8,65.1,704410.0229375449,199736,12041.0
Томская область,28857.0,48730.0,0.45271629778672035,25600.0,44.2,7.7,518179.5,16.9,1.9,0.6299999999999999,70726.0,243.0,616.2,0.0,920.9920399973686,1079271.0,14.4,42.2,3.6,54.2,657705.6298186461,162359,12566.0
Тульская область,29385.0,40889.0,0.5919348871624122,52826.0,69,9,486544.2,16.6,0.8,0.0,72165.3,109.1,313.7,16.5,737.4531674268327,1466127.0,10.1,38.8,5.3,56.0,1271668.6764107065,205652,11814.0
Тюменская область без округов,31151.0,51501.0,0.3786060896923159,34972.0,61.2,13.2,757076.0,18.1,3.3,5.5188,64208.6,40.8,340.5,37.8,1219.7739583821165,1537416.0,13.6,37.9,7.5,54.7,1186776.8978858031,268215,12376.0
